paramID,g,R1ratio,R2ratio,T1,T2,S_01_1,S_01_2,S_00_1,S_00_2,S_11_1,S_11_2,alpha1,theta1,kappa1,mu1,alpha2,theta2,kappa2,mu2
21,0.0184,0,0,0,0,0.8428,0.8428,0.0073719716,0.0073719716,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
22,0.0184,0,0,0,0,0.8428,0.8428,0.07050022,0.07050022,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
23,0.0184,0,0,0,0,0.8428,0.8428,0.6742400000000001,0.6742400000000001,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
24,0.0184,0,0,0,0,8.096,0.16192,0.0074046016,0.000148092032,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
25,0.0184,0,0,0,0,8.096,0.16192,0.070815712,0.00141631424,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
26,0.0184,0,0,0,0,8.096,0.16192,0.6772304,0.013544608,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
27,0.0184,0,0,0,0,8.096,0.043718,0.070815712,0.0003824013459999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
28,0.0184,0,0,0,0,8.096,0.043718,0.6772304,0.0036570107,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
29,0.0184,0,0,0,0,8.096,0.043718,0.0074046016,3.99844828e-05,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
30,0.0184,0,0,0,0,8.096,2.1973,0.0074046016,0.00200965058,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
31,0.0184,0,0,0,0,8.096,8.096,0.0074046016,0.0074046016,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
32,0.0184,0,0,0,0,8.096,0.59668,0.0074046016,0.000545723528,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
33,0.0184,0,0,0,0,8.096,0.59668,0.070815712,0.00521915996,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
34,0.0487,0,0,0,0,0.23222,0.063023,0.000212388412,5.76408358e-05,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
35,0.0487,0,0,0,0,0.23222,0.063023,0.00203122834,0.0005512621809999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
36,0.0487,0,0,0,0,0.23222,0.063023,0.019425203,0.0052718739499999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
37,0.0487,0,0,0,0,0.23222,0.063023,0.185776,0.0504184,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
38,0.0487,0,0,0,0,0.23222,0.23222,0.00203122834,0.00203122834,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
39,0.0487,0,0,0,0,0.23222,0.23222,0.019425203,0.019425203,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
40,0.0487,0,0,0,0,0.23222,0.23222,0.000212388412,0.000212388412,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
41,0.0487,0,0,0,0,0.23222,0.23222,0.185776,0.185776,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
42,0.0487,0,0,0,0,2.2307,0.1644,0.00204019822,0.0001503602399999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
43,0.0487,0,0,0,0,2.2307,0.1644,0.0195119329,0.0014380067999999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
44,0.0487,0,0,0,0,2.2307,0.1644,0.186598055,0.01375206,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
45,0.0487,0,0,0,0,2.2307,0.1644,1.78456,0.13152,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
46,0.0487,0,0,0,0,2.2307,0.044614,0.0195119329,0.0003902386579999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
47,0.0487,0,0,0,0,2.2307,0.044614,0.186598055,0.0037319611,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
